Katze;p45;FL74;EPK211;p15E;Provirus
Meiki;0.172;0.109;0.863;-0.008;0
Fiona;0.378;0.664;0.690;0.101;0
Fauchi;0.309;0.606;0.129;0.029;0
Wuscheli;0.667;0.477;2.295;0.062;0
Sarah;0.558;0.783;3.782;0.097;0
Röbi;1.021;0.844;3.948;0.088;0
Attila;0.679;0.748;1.672;0.094;0
Husky;0.594;0.855;2.491;0.058;0
Susi;0.235;0.090;0.332;0.020;0
Pompuj;0.898;0.691;1.391;0.081;0
Black;0.292;0.169;0.573;0.013;0
Jack;0.173;0.175;0.514;-0.011;0
Buebeli;0.190;0.099;0.298;-0.014;0
Gubser_Tigi;0.090;0.050;0.233;-0.035;0
Cleo;0.254;0.200;0.437;0.031;0
Shila;0.113;0.180;0.064;-0.026;0
Minca;0.278;0.481;1.488;0.027;0
Zimi;0.263;0.426;0.314;0.087;0
Murrli;0.201;0.289;0.306;0.004;0
Montoya;0.111;0.042;0.143;-0.001;0
Odie;0.242;0.174;1.025;0.011;0
Garfield;0.313;0.191;0.754;0.087;0
Laila;0.316;0.328;1.636;0.105;0
Tiger;0.333;0.198;1.232;0.139;0
Namenlos_2;0.250;0.163;0.598;0.071;0
Namenlos_1;0.356;0.281;1.276;0.152;0
Schwarz;0.314;0.248;1.592;0.109;0
Barichello;0.133;0.150;0.112;0.000;0
Ferrari;0.148;0.095;0.382;-0.011;0
Horowitz;0.379;0.353;1.632;0.021;0
Bärli;0.215;0.163;0.165;0.001;0
Mauzi;0.501;0.371;2.168;0.071;0
Shana;0.189;0.065;-0.014;0.002;0
Jeanny;0.261;0.182;0.732;0.070;0
Johnny;0.204;0.152;0.680;0.024;0
Dude;0.410;0.343;1.576;0.061;0
Pingi;0.442;0.494;2.546;0.062;0
Munggi;0.394;0.718;2.241;0.178;0
Salia;0.201;0.457;0.538;-0.001;0
0;0.218;0.180;0.555;0.018;0
2;0.494;0.398;3.138;0.201;0
4;0.252;0.231;0.295;0.012;0
8;0.419;0.420;1.953;0.103;0
11;0.334;0.285;1.535;0.168;0
12;0.455;0.382;1.476;0.132;0
19;0.198;0.180;0.440;0.031;0
22;0.677;0.453;1.656;0.289;0
24;0.647;0.766;2.831;0.136;0
26;0.392;0.299;1.752;0.083;0
30;0.664;1.040;4.447;0.159;0
32;0.631;0.513;2.536;0.139;0
33;0.186;0.178;0.695;0.003;0
Oxa;0.278;0.422;0.555;0.043;0
Getigert;0.364;0.588;2.090;0.021;0
Rambam;0.701;0.559;3.800;0.084;0
Rossini;0.978;0.622;2.788;0.096;0
Janosch;0.235;0.194;1.005;0.044;0
Kara;0.526;0.980;2.232;0.078;0
Speedy;0.568;0.506;1.188;0.160;0
Venus;0.456;0.423;1.602;0.185;0
Smirnoff;0.521;0.677;1.707;0.059;0
Mira;0.405;0.344;1.388;0.085;0
Gioja;0.113;0.110;-0.173;-0.007;0
Samira;0.540;0.678;0.147;0.064;0
Garfield;0.396;0.457;1.017;0.062;0
Sämi;0.200;0.209;0.344;0.011;0
Touftouf;0.256;0.237;0.417;0.083;0
Hasso;0.592;0.986;2.379;0.062;0
Mona;0.238;0.146;0.126;-0.001;0
Muschi;0.328;0.254;0.920;-0.006;0
Vikont;0.156;0.115;0.489;0.032;0
Mieze;0.219;0.165;1.033;0.056;0
Ciri;0.489;0.689;2.080;0.048;0
Miruno;0.357;0.371;2.988;0.009;0
Pepito;0.205;0.547;1.760;0.024;0
Cibi;0.436;0.369;1.788;0.093;0
Ettore;0.150;0.181;0.243;-0.011;0
Tobi;0.300;0.297;1.578;0.029;0
Jerry;0.072;0.013;-0.096;0.018;0
Nico;0.480;0.876;2.361;0.046;0
Schwarz;0.064;0.164;-0.118;-0.007;0
Schwarzweiss;0.074;0.154;-0.161;-0.011;0
grau;0.079;0.116;-0.136;0.004;0
Moustache;0.445;0.729;1.733;0.245;0
Litschi;0.200;0.162;0.321;-0.009;0
Rotweiss;0.216;0.214;0.558;-0.002;0
Tigro;0.143;0.476;0.272;0.033;0
Mascha;0.809;0.294;0.351;-0.016;0
Tom;0.186;0.128;0.526;0.009;0
rot-weiss;0.149;0.167;0.197;0.029;0
Sweet;0.325;0.489;1.492;0.076;0
Dalja;0.982;0.905;1.166;0.052;0
Malja;0.800;0.278;-0.120;0.024;0
Merlin;0.238;0.144;0.092;0.087;0
Mulan;0.538;0.154;-0.169;0.006;0
Mephisto;0.653;0.906;3.471;0.096;0
Lehmann;0.372;0.616;2.203;0.111;0
Stevie;0.916;0.888;2.252;0.249;0
Momo;0.063;0.386;-0.207;-0.012;0
Muger;0.098;0.102;-0.004;0.012;0
Cäsar;0.214;0.138;0.368;-0.023;0
Aischa;0.245;0.445;1.151;0.025;0
Zizo;0.545;0.460;4.842;0.234;0
Cleo;0.213;0.119;0.141;-0.005;0
Gina;0.319;0.928;2.815;0.097;0
Uster;0.998;1.120;1.673;0.073;0
Wuschel;1.022;0.454;0.530;0.067;0
Fatima;0.280;0.827;0.828;0.015;0
Viva;1.000;0.973;1.876;0.241;0
Nora;0.954;0.462;1.466;0.062;0
Trixi;0.987;0.961;2.026;0.073;0
Minnie;0.821;0.344;1.399;0.069;0
Kitty;0.485;0.271;1.520;0.101;0
Pinga;0.801;0.344;1.302;0.052;0
New;0.238;0.134;1.483;0.138;0
Beastygirl;0.962;0.754;2.806;0.094;0
Mixi;0.329;0.050;0.029;0.035;0
Mimi;0.252;0.082;0.026;-0.005;0
Butz;0.371;0.204;2.512;0.073;0
Cat;0.290;0.164;1.550;0.137;0
Vessla;0.995;0.780;2.544;0.183;0
Lumpi;0.794;0.629;2.861;0.182;0
Prinzessin;0.916;0.854;1.055;0.048;0
Jazz;0.864;0.788;0.292;0.029;0
Meitä;0.997;0.448;0.888;0.033;0
Mutz;0.958;0.793;4.915;0.226;0
Momo;0.665;0.215;0.807;0.087;0
Floh;0.986;0.833;1.705;0.020;0
Chrigi;0.909;0.949;2.536;0.116;0
Sametpfötli;0.992;0.936;1.551;0.172;0
Strubbel;0.852;0.768;2.484;0.086;0
Tschimmi;0.941;0.882;2.252;0.195;0
Surrli;0.923;0.428;2.039;0.118;0
Carinio;0.992;0.669;1.388;0.074;0
Zorro;0.876;0.343;0.569;0.019;0
Kleopatra;0.278;0.150;0.680;-0.001;0
Ramses;0.207;0.235;0.158;-0.011;0
3;0.487;0.612;2.136;0.063;0
6;0.373;0.297;0.921;0.027;0
7;0.512;0.468;3.169;0.086;0
9;0.442;0.385;2.394;0.045;0
10;0.557;0.534;3.426;0.288;0
18;0.779;0.421;1.848;0.110;0
Danniebelle;0.994;0.857;2.555;0.106;0
Chilli;1.036;0.518;0.571;-0.001;0
Cheyenne;1.002;0.588;1.816;0.103;0
Tina;1.059;1.000;2.137;0.107;0
Michelangelo;0.077;0.735;0.037;0.056;0
Pupuce;0.911;0.948;0.946;0.004;0
Micky;0.581;0.359;1.823;0.080;0
Zora;0.676;0.237;0.906;0.140;0
Murmi;0.470;0.107;0.076;-0.010;0
Jenny;0.956;0.703;1.782;0.090;0
Nicki;0.932;0.810;3.208;0.007;0
Ariel;0.916;0.961;4.620;0.407;0
Hugo;0.848;0.585;1.747;0.142;0
