p45;FL74;EPK211;p15E;Provirus;id
0.825457317;0.155788177;0.013029316;0.072942643;0;105
1.048018293;0.22229064;0.114006515;0.168329177;0;106
0.113567073;0.115763547;-0.003257329;0.089775561;0;107
0.342987805;0.268472906;0.182410423;0.198254364;0;108
1.101371951;0.408251232;0.091205212;0.065461347;0;109
0.186737805;0.031403941;0.136807818;0.174563591;0;110
0.160897436;0.012693935;0.076433121;3.105062082;1;111
0.075;-0.009873061;0.165605096;0.187201528;1;112
0.082051282;0.021156559;0.292993631;0.800785083;1;113
0.051923077;-0.027503526;0.057324841;0.421000981;1;114
0.140384615;0.002115656;-0.171974522;2.56329735;1;115
0.018589744;-0.002115656;-0.006369427;1.018645731;1;116
0.552564103;0.189703808;0.248407643;3.286555447;1;117
0.020512821;-0.006346968;0.222929936;0.295387635;1;118
0.017948718;-0.019040903;-0.044585987;0.069676153;1;119
0.01025641;-0.01551481;-0.038216561;0.189401374;1;120
0.017307692;-0.014104372;0.025477707;0.115799804;1;121
0.023076923;-0.031029619;0.082802548;0.218842002;1;122
0.033333333;-0.019746121;-0.070063694;0.120706575;1;123
0.328846154;0.246826516;0.057324841;3.286555447;1;124
0.029487179;-0.014809591;0.133757962;0.313052012;1;125
0.271794872;0.010578279;0.070063694;3.355250245;1;126
0.103205128;-0.009873061;0.063694268;2.434739941;1;127
0.053846154;-0.009873061;-0.050955414;0.089303238;1;128
0.131410256;0.007757405;0.089171975;2.554465162;1;129
0.076923077;0.010578279;0.337579618;0.849852797;1;130
0.2;0.009167842;0.331210191;2.505397448;1;131
0.125641026;0.021861777;0.363057325;0.121687929;1;132
0.076923077;0.040197461;0.095541401;0.096172718;1;133
-0.006410256;-0.031029619;-0.070063694;0.010794897;1;134
0.367307692;0.001410437;-0.050955414;3.24141315;1;135
0.028205128;-0.004231312;0.178343949;0.302257115;1;136
0.056410256;-0.007757405;0.191082803;0.842983317;1;137
0.227564103;0.023272214;0.426751592;2.325809617;1;138
0.131410256;-0.003526093;-0.076433121;1.665358194;1;139
0.026282051;0.113540197;0.305732484;0.089303238;1;140
0.088461538;-0.010578279;0.350318471;0.083415113;1;141
0.019230769;-0.017630465;0.01910828;0.187438665;1;142
0.034615385;0.002820874;0.076433121;0.170755643;1;143
0.183974359;0.024682652;0.331210191;0.093228656;1;144
0.325;0.090973202;0.496815287;2.492639843;1;145
0.020512821;-0.021156559;0.031847134;0.090284593;1;146
0.161538462;0.077574048;1.210191083;0.669283611;1;147
0.028846154;-0.010578279;-0.012738854;0.008832188;1;148
0.029487179;0.003526093;0.140127389;0.061825319;1;149
0.042307692;-0.00493653;0.191082803;0.352306183;1;150
-0.003562341;-0.005455963;0.058333333;0.42296369;1;151
